,alpha,beta,sharpe_ratio,percentage_share
Fund,-0.01994091721057982,0.682,0.905,100%
^FTSE,N/A,1.0,1.344,N/A
GSK.L,-0.41455095910014744,0.523,-4.556,26.24%
SGE.L,0.028997135045766093,0.668,1.261,22.01%
NG.L,-0.3284271059143567,0.67,-2.033,14.18%
WHR.L,0.3278679410315791,0.297,3.605,15.15%
SSE.L,0.08430677840364165,0.941,1.326,8.84%
RHIM.L,0.23398668753972282,1.35,2.048,7.05%
ICP.L,1.1926856757807789,1.519,6.59,3.54%
ASC.L,1.437792699412094,0.875,7.186,2.95%
